date,state,cases,deaths
2020-03-27,TO,0.0,0.0
2020-03-27,SP,0.0,0.0
2020-03-27,SE,0.0,0.0
2020-03-27,SC,0.0,0.0
2020-03-27,RS,0.0,0.0
2020-03-27,RR,0.0,0.0
2020-03-27,RO,0.0,0.0
2020-03-27,RN,0.0,0.0
2020-03-27,RJ,0.0,0.0
2020-03-27,PR,0.0,0.0
2020-03-27,PI,0.0,0.0
2020-03-27,PE,0.0,0.0
2020-03-27,PB,0.0,0.0
2020-03-27,PA,0.0,0.0
2020-03-27,MT,0.0,0.0
2020-03-27,MS,0.0,0.0
2020-03-27,MG,0.0,0.0
2020-03-27,MA,0.0,0.0
2020-03-27,GO,0.0,0.0
2020-03-27,ES,0.0,0.0
2020-03-27,DF,0.0,0.0
2020-03-27,CE,0.0,0.0
2020-03-27,BA,0.0,0.0
2020-03-27,AP,0.0,0.0
2020-03-27,AM,0.0,0.0
2020-03-27,AL,0.0,0.0
2020-03-27,AC,0.0,0.0
2020-03-28,TO,9.0,0.0
2020-03-28,SP,1358.0,83.0
2020-03-28,SE,16.0,0.0
2020-03-28,SC,176.0,1.0
2020-03-28,RS,193.0,2.0
2020-03-28,RR,12.0,0.0
2020-03-28,RO,6.0,0.0
2020-03-28,RN,45.0,0.0
2020-03-28,RJ,558.0,13.0
2020-03-28,PR,133.0,2.0
2020-03-28,PI,11.0,1.0
2020-03-28,PE,63.0,4.0
2020-03-28,PB,14.0,0.0
2020-03-28,PA,17.0,0.0
2020-03-28,MT,13.0,0.0
2020-03-28,MS,31.0,0.0
2020-03-28,MG,202.0,0.0
2020-03-28,MA,14.0,0.0
2020-03-28,GO,56.0,1.0
2020-03-28,ES,53.0,0.0
2020-03-28,DF,260.0,0.0
2020-03-28,CE,322.0,4.0
2020-03-28,BA,127.0,0.0
2020-03-28,AP,4.0,0.0
2020-03-28,AM,111.0,1.0
2020-03-28,AL,14.0,0.0
2020-03-28,AC,25.0,0.0
2020-03-29,TO,9.0,0.0
2020-03-29,SP,1404.0,97.0
2020-03-29,SE,16.0,0.0
2020-03-29,SC,186.0,1.0
2020-03-29,RS,226.0,2.0
2020-03-29,RR,16.0,0.0
2020-03-29,RO,6.0,0.0
2020-03-29,RN,67.0,1.0
2020-03-29,RJ,600.0,17.0
2020-03-29,PR,148.0,2.0
2020-03-29,PI,14.0,1.0
2020-03-29,PE,68.0,4.0
2020-03-29,PB,14.0,0.0
2020-03-29,PA,18.0,0.0
2020-03-29,MT,16.0,0.0
2020-03-29,MS,36.0,0.0
2020-03-29,MG,228.0,0.0
2020-03-29,MA,16.0,0.0
2020-03-29,GO,58.0,1.0
2020-03-29,ES,60.0,0.0
2020-03-29,DF,289.0,1.0
2020-03-29,CE,359.0,5.0
2020-03-29,BA,155.0,1.0
2020-03-29,AP,4.0,0.0
2020-03-29,AM,140.0,1.0
2020-03-29,AL,17.0,0.0
2020-03-29,AC,34.0,0.0
2020-03-30,TO,10.0,0.0
2020-03-30,SP,1469.0,112.0
2020-03-30,SE,16.0,0.0
2020-03-30,SC,189.0,1.0
2020-03-30,RS,241.0,3.0
2020-03-30,RR,16.0,0.0
2020-03-30,RO,6.0,0.0
2020-03-30,RN,75.0,1.0
2020-03-30,RJ,657.0,18.0
2020-03-30,PR,155.0,3.0
2020-03-30,PI,16.0,3.0
2020-03-30,PE,73.0,5.0
2020-03-30,PB,15.0,0.0
2020-03-30,PA,21.0,0.0
2020-03-30,MT,18.0,0.0
2020-03-30,MS,44.0,0.0
2020-03-30,MG,258.0,1.0
2020-03-30,MA,23.0,1.0
2020-03-30,GO,61.0,1.0
2020-03-30,ES,71.0,0.0
